Company name,NSE Symbol,Market Cap,Categorization
COCHIN SHIPYARD LIMITED,COCHINSHIP,12688.55,Small Cap
COFFEE DAY ENTERPRISES LIMITED,COFFEEDAY,985.92,Small Cap
COFORGE LIMITED,COFORGE,32302.16, Mid Cap 
"COLGATE-PALMOLIVE (INDIA) LTD.,",COLPAL,56067.84, Mid Cap 
COMPUAGE INFOCOM LTD,COMPINFO,99.73,Small Cap
COMPUCOM SOFTWARE LT.,COMPUSOFT,190.16,Small Cap
CONTAINER CORPORATION OF INDIA LTD.,CONCOR,44179.47, Mid Cap 
CONCORD BIOTECH LIMITED,CONCORDBIO,12258.99,Small Cap
CONFIDENCE PETROLEUM INDIA LIMITED,CONFIPET,2410.94,Small Cap
CONSOLIDATED FINVEST & HOLDINGS LTD.,CONSOFINVT,574.22,Small Cap
CONTROL PRINT (INDIA) LTD.,CONTROLPR,1283.8,Small Cap
CORAL INDIA FINANCE AND HOUSING LTD,CORALFINAC,171.66,Small Cap
CORDS CABLE INDUSTRIES LIMITED,CORDSCABLE,134.18,Small Cap
COROMANDEL INTERNATIONAL LIMITED,COROMANDEL,32445.96, Mid Cap 
COSMO FIRST LIMITED,COSMOFIRST,1708.14,Small Cap
COUNTRY CONDO'S LTD,COUNCODOS,35.17,Small Cap
CRAFTSMAN AUTOMATION LIMITED,CRAFTSMAN,10107.02,Small Cap
CREATIVE NEWTECH LTD.,CREATIVE,804.5,Small Cap
CREATIVE EYE LTD.,CREATIVEYE,7.66,Small Cap
CREDITACCESS GRAMEEN LTD.,CREDITACC,23543.54, Mid Cap 
CREST VENTURES LIMITED,CREST,726.78,Small Cap
CRISIL LTD.,CRISIL,29344.64, Mid Cap 
CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,CROMPTON,18865.61,Small Cap
CROWN LIFTERS LTD.,CROWN,67.52,Small Cap
CSB BANK LIMITED,CSBBANK,5885.8,Small Cap
CSL FINANCE LIMITED,CSLFINANCE,790.47,Small Cap
